Lekwungen Word,English Translation
p̓əwtʔew̓txʷ,canoe shelter; boat house
p̓əwyéləp,"Placename: Puyallup, Washington, where hops are picked"
p̓ə́wiʔ,flounder
qeʔŋiʔal̓əɬ,girl; young lady
qəw̓ə́čən,Cowichan
qin̓,cheat
qiq̓,restrained; be in jail
qiyaʔt,"take it out (of a container), bring it out"
qp̓eyeɬ,lie face down; be lying face down
qp̓ásəŋ,"bend; bow the head, face down"
qsət,put it in the water
qsə́sət,enter the water
qállə,"Placename: Traditional village site where the Esquimalt Nation reserve is today. Translated as ""spring water gushing down the beach"". Unsure of etymology, may be related to x̣ʷəq̓íləŋ meaning to drift downstream."
qáməŋ̓iɬč,maple tree
qáx̣ələŋ,Placename: area on the southern shore of the mouth of Cadboro Bay. Also spelled Kakhalaang (Grant Keddie 2003 p.54).
qéʔyəs,"recently; a while ago, a little while ago"
qéʔələč̓s,its spinning (wool)
qéləč̓,spin wool
qéləč̓ət,spin it (wool)
qén̓qən,thief
qéqən,house post
qíləs sxʷíʔem,sad story
qəl,bad; spoil (EG often translates as 'good')
qəlʔqə́lʔəl,"damaged, get damaged; spoiled, get spoiled"
qəlqəlp̓ə́s,curly
qəlqəlí’mə,dirty; to be very dirty; (to be many dirty people)
qəlqə́s,"drowning, be drowning"
qəláʔs,dull; be unsharpened
qəláx̣,"salmon eggs, salmon roe"
qəléʔqən,thieves
qələq̓élʔs,police officers (plural)
qəl̓qəl̓ásən,dream; to dream
qəl̓ét,repeat
qəmʔqəməʔ,baby who is always nursing
qəméneʔ,shell
qəmə́ʔstxʷ,nurse; give a baby the breast
"1. Placename: The people from this village at Witty’s Beach later moved to Becher (Chowits’en) Bay. The Klallam chief Tl’eixum (ƛ̓eyx̣əm-spelled Tly-a-hum on the Douglas treaty for the Quqay’uqun) who according to the treaty,",2. was a descendant of the Quqay’uqun (Duff 151:4).
qəqiʔéʔ,"loose, be loose"
qəqəl̓ém̓,"weak, be weak"
qəq̓élʔs,police; police officer
qəwq̓ʷtén,elbow
qə́čəqs,salmon (Coho or silver salmon)
qə́ləs,"sad, to be sad"
qə́ləx̣,"salmon eggs, salmon roe"
qə́ləx̣s,its roe (his/her/their/its roe)
qə́l̓,camp; be camping
qə́l̓əŋ,camp; be camping
qə́məʔ,breast
qə́p̓əsnəs,south; south east
qʷaʔ,water
qʷaʔəŋ,get water; dip water up
qʷap̓əʔəxʷ,hazel nut
qʷelstxʷ,speak; be made to speak
qʷel̓,speak; tell
qʷel̓s,speak (he/she/it speaks)
qʷel̓stxʷ,speak; be made to speak
qʷiʔstem̓əxʷ,dwarf; little person
qʷinekʷəs,hair of body
qʷix̣ʷət,miss it; not connecting with
qʷɬaʔ,camas (blue camas bulb) (MM spells kʷɬaʔ)
qʷɬeyʔ,log
qʷɬáʔəl,"camas, (blue camas flower)"
qʷɬéyšən,shoes; boots
qʷntá'ləs,fire stones (unverified spelling)
qʷtál qʷaʔ,sea inlet
qʷx̣ʷáʔləw̓šən,toenail
qʷáʔap,crab apple; Malus fusca (Crab apple wood was burned and live charcoal was carried in clam shells on long trips to provide fire (Stern 1934:55).
qʷáʔpəɬč,"devil’s club; Opolopanax horridus (With spines removed, the stems are charred and mixed with grease or face cream for black face paint)."
qʷáʔqʷəʔ,drink (to drink)
qʷáʔqʷəʔqʷəʔ,drinking; drink heavily (as in alcohol)
"1. tan hides, to tan hides. Elk and deer skins were dressed by women, who soaked them in water and scraped off the hair. Hides were then washed, rubbed with deer brains and fat, and smoked. Finished skins were made into shirts,","2. moccasins, and storage bags (Barnett 1955:125; Gunther 1927:219; Stern 1934:32)."
qʷámičən,Placename: Quamichun (Cowichan?)
qʷáƛqʷaʔ,sea
qʷéʔen,mosquito
qʷélqʷəl,talkative
qʷél̓qʷel̓ŋítəŋ,scolding; speaking harshly; being scolded
qʷél̓stəŋ,"spoken to, be spoken to"
qʷénəs,call to; invite
qʷíqʷməs,"dancer’s headdress (conical headdress is made of shredded cedar bark, human hair, or, for novices, wool; the peak is decorated with eagle feathers)."
qʷəʔex̣ʷiyəč,onion
qʷəlnəkʷəltxʷ,"cause to speak together, to each other; cause to discuss"
qʷəléʔəl,tell from a distance; speak from far away
1. proper name. a famous mythical shaman who lived at the village of q̓ʷəmiʔiqən; he was especially powerful in curing strokes and paralysis; a noble family gave him the rights to perform the sx̣ʷaysx̣ʷe as payment for his,2. services.
qʷəl̓ŋítəŋ,spoken to harshly; be scolded
qʷəɬáʔalʔ,camas (blue camas)
qʷənqʷəní,seagulls
qʷəní,seagull
qʷən̓tiʔiɬ,always rocking a baby
qʷən̓tís,hold; rock in one's arms (as a baby)
qʷəqʷél̓,speak; to make a speech
qʷəqʷəlnə́kʷəl,talking to each other
qʷəqʷəyíɬč (qʷaʔqʷəʔíɬč),Arbutus
qʷə́ləstxʷ,cook it; boil it
qʷə́l̓əs,boil
qʷə́mʔx̣ʷšən,ankle
qʷə́mc̓əléx̣ən,elbow
qʷə́ŋəs,wheel fish
qʷə́qʷəl,talking; talk a lot; be talkative
qʷə́qʷəl̓,speak quietly
q̓awtít̓təŋ,drummed; be drummed
q̓ayəʔič,elk
q̓c̓ə́ʔkʷən,scissors (have example recordings of both q̓c̓ə́ʔkʷən and q̓ə́c̓əʔkʷən
q̓ek̓ʷs unverified spelling,diver (pacific loon?); (xʷik̓ʷs KLM)
q̓eq̓aw̓,skate; ray; Rajiformes spp. Skate were speared as they came toward<br />shore; stomachs were cut out and remainder was boiled; fins might be grilled<br />(Gunther 1927:209; Stern 1934:51).
q̓eyáƛ̓ən,snail; slug
q̓kʷí’təŋ,bitten; be bitten
q̓pət,gather; get together
q̓pə́sət,gathered with; bundled
q̓tast,go in front of
q̓xʷə́w̓ɬ,war cane; a war canoe
q̓x̣ə́lə,dig for clams
q̓áʔwəm,howl
q̓áp̓ətəxʷ,tie it (cause to be tied)
q̓áwət,drum; beat a drum
q̓éʔləŋiʔ,girls (plural); young girls; maidens
q̓éʔŋiʔ,girls; young girl; maiden
q̓ép̓ət,tie it; bind it
q̓éq̓əƛ̓,reflection
q̓ét̓əŋ,"sweet, be sweet"
q̓éwət,pay someone
q̓ík̓ʷət,"bite, to bite"
q̓ít̓əʔ,"cradle, swing"
q̓ə,indeed; really
q̓ək̓ʷísət,bite oneself
q̓ək̓ʷítəs,bites it on purpose; he/she/they bite it on purpose
q̓əlʔ ŋənʔ,summer camp: “many are camping”
q̓əlač̓ən,tent (as used in the bigouse)
q̓əlɬánəməčən,whale (generic term). Whaling was not common among Lenkwungen people. Whale might be harpooned by a seal hunter or utilized when it came ashore dead (Barnett 1955:92; Suttles 1952:11).
q̓əláʔəŋ,preserve; put up (food)
q̓əlép̓ətəs,tie many things
"2. the rapids near the Admirals street bridge. People would dive into the water there, seeking spirit power. They would carry a big rock with them to sink them to the bottom. While underwater, Q̓əm̓asəŋ would take mercy on them",3. and grant them the powers they were seeking.
q̓əp,meet; gather
q̓əp'ənʔéʔtən,ribbon; hair tie
q̓əq̓éʔnəɬ,"late, be late; slow, be slow"
q̓əq̓ékʷə,crutches
q̓əq̓éƛ̓,shadow or reflection; nightmare(?)
q̓əq̓éyʔ,intestines
q̓əq̓əsčín,spider
q̓əs,"short of, be short of; scarce"
q̓əx̣mín,"wild celery, Indian consumption plant"
q̓əx̣q̓əx̣,"can, tin can"
q̓əyéʔmən,shell
q̓ə́c̓əɬč,oceanspray (plant-Spirae discolour)
q̓ə́č̓iʔ,moss
q̓ə́kʷə,cane
q̓ə́lʔq̓ətəs,tangling it
q̓ə́ləŋ,eye
q̓ə́məʔtəŋ,Saturday
q̓ə́m̓təs,"tear (she is breaking thread, string)"
q̓ə́tkʷsət,owl (screech owl)
q̓ʷaʔ,"join a group, together"
q̓ʷaʔšə́n,walk together
q̓ʷaʔšə́nətəŋ,accompanied on foot; be accompanied on foot
q̓ʷax̣ʷəɬč,pine; jack pine (unconfirmed)
q̓ʷay,die
q̓ʷčatəs,they kill him/her/it
q̓ʷčásət,"kill oneself, commit suicide"
q̓ʷčátəŋ,killed (be killed); beaten to death
q̓ʷčátəs,they killed them
q̓ʷčíŋəɬ,"killing, be killing"
q̓ʷes,burned to death; badly burned
q̓ʷeymən̓,pin
q̓ʷeyéləš,dance (to dance)
q̓ʷiŋs,disembarks; she/he/they disembark(s)
q̓ʷiŋələ,gamble
q̓ʷiŋələʔ,borrow
q̓ʷx̣ʷáʔləw̓čəs,fingernail
q̓ʷáʔq̓ʷe,deceased spouse; dying; one who is near death; paralyzed
q̓ʷáʔət,put together; combine; mix together (ingredients); put something with it
q̓ʷáʔətəŋ,combining; ; be combined; being put together
q̓ʷáčət,kill it/him/her/them
q̓ʷéʔələx̣,beware; look out for; be careful
q̓ʷéč̓ət̓,belch
q̓ʷéyən,die
q̓ʷíŋ,get out of; get off; disembark
q̓ʷíŋət,unload it
q̓ʷəcəŋ,rooted; to be rooted; to have roots
q̓ʷəlx̣ʷaʔlə́w̓čəs,fingernails; claw; talon
q̓ʷəlxéʔst,warn
q̓ʷəlxéʔstxʷ,roll oneself over
q̓ʷəlxéʔstəŋ,warned; be warned by
q̓ʷəmiʔéqn̓,Cowichan village near Green Point
"1. boy's puberty. When a boy̓s voice began to change, he underwent rigorous training, including fasting, bathing in cold water, and scrubbing his body with twigs, and endured other physical hardships to prepare himself for","2. supernatural experiences leading to the acquisition of a spirit helper (Barnett 1955:77, 143; Stern 1934:18}."
q̓ʷəp̓,wrinkle
q̓ʷəq̓ʷənə́kʷəl,we met each other
q̓ʷə́lən,ear
q̓ʷə́ləŋ,cooked (be cooked); roasted; barbecued; bake
q̓ʷə́ləs,grill; roast
q̓ʷə́lət,"grill, roast. Smelt, flounder, skate fins, dried salmon, mussels, and fern roots were grilled on sticks over an open fire<br />(Gunther 1927:209).<br />"
sʔist,do with it
sʔistxʷ,happen to it
sʔáɬqaʔ,snake
sʔámənaʔ,"Placename: Somenos (Samuna'), Cowichan Village at Duncan"
sʔásəs,cheeks
sʔáx̣ʷə,clam (butter clam)
sʔéləxʷ,"elder, elderly person; old"
sʔíc̓əŋ,clothes
sʔíčəŋəɬ,"Placename: This name for Willow’s Beach refers to the driftwood that washes up on the beach (see čəŋéɬč- oak tree). Ned Williams’ father, ƛ̓’yəc̓kiʔnəm (Tl'iuts’ki’num, used to live in a Bighouse near here."
sʔíləqsən,peninsula; point of land; arrow point
sʔíɬən,food; meal
sʔítətəlkʷət,pijamas; night gown
sʔəlʔéləxʷ,elders; old people (plural)
sʔəlen̓,hearing
sʔəléʔnəŋ,hearing; listening
sʔəléʔnəxʷ,hearing; overhearing
sʔəɬtélŋəxʷ,body; soul; spirit; animate or living part of a person or animal
sʔəɬtənəŋ,berry; fruit (generic term)
sʔə́nsəč,bay (unconfirmed)
"2. They approached two men harpooning seals. Their approach disturbed the men’s hunting, so the men rebuked Xe’els and his companions for frightening the seals they were stalking. Xe’els turned him into a stone, standing poised","3. to throw a harpoon, and made him “boss over all the seals”. White settlers cut up the rock and used it for grave stones, and that’s why there are so few seals there today."
saʔəkʷ,rhubarb (Indian rhubarb)
saaɬ,trail; road; doorway
saŋ,go up from the water
saŋt,take something up from the water
sasəyəm,harpooning: harpoon hunting
sayəmən,harpoon
scɬácən,lip (upper)
sc̓aləm̓,bones
sc̓am̓,bone
sc̓aq̓ʷ,worm
sc̓a̓ɬə,leaf
sc̓əw̓éčəŋ,chair
sc̓kʷaʔíw̓šən,left foot
sc̓kʷeʔíw̓s,left; left hand; left side of body
sc̓sn̓áʔəŋ,Placename: traditional name for Chatham Island
sc̓áʔc̓ɬə,leaves
sc̓ám̓əqʷ,skull
sc̓áŋəs,Placename: Albert Head
sc̓éʔəw̓txʷ,Placename: Albert Head
sc̓éʔqn,cat tail; bullrush; cattail
sc̓əstesəs / sc̓astə́səs,branch of a tree
sčaɬ,wood; firewood
sčen,"really (that which is really, very or truly something)"
sčen ʔəw̓ ʔay̓,"useful, very good"
sčey̓,work; the work
sčiyáyə,twins. Birth of twins is auspicious (good luck) as both parents and children are thought to have special supernatural power (Barnett 1955:135; Gunther 19~7:237: Stern 1934:14-15).
sčáʔtx̣,halibut; Hippoglossus stenolepis.
sčáɬəɬp,Placename: West Saanich
sčéʔi,"work, job, labour"
sčéʔi,maker; worker
sčéʔləʔčə,"cousins, kinsmen; many friends"
sčéʔyən̓,"become straight, be corrected"
sčéen̓əxʷ; sčiénəxʷ,fish (generic term)
sčéq̓,"fall, a fall"
sčét̓xʷən,bear (black bear)
sčéy,wool; yarn
sčíčnəɬ,Placename: Village in the Oak Bay area south of Cadboro Bay
sčəčə,"ride (travel upon something, such as a horse); straddle(?)"
sčəlʔénəŋ,"time, year, custom, tradition"
sčəleŋən,"time, way, custom, tradition"
sčəlkʷɬnét,Monday
sčəléʔi,jobs
sčəléʔnəŋ,"time, way, custom, tradition"
sčəléʔə,where you come from
sčəɬ,firewood
sčənčéenəxʷ,a big run of fish; lots of fish
sčənéen̓xʷ sčənín̓xʷ,fishing ground
sčəníŋəɬ,"seed, garden"
sčəŋə́nŋəs,the child she had (his/her/their child)
sčəqʷə́w̓sə,"fire (noun) , flames"
sčəwʔét,"smart, one who is clever, know how to"
sčəx̣ ɬqélč̓,half moon
sčə́ŋəs,Placename: area in Teečəmitsə territory near where Royal Roads University is today.
sčə́s,West wind; (Southwest wind?)
sčə́saqʷ,"hat, a hat"
sčə́səʔqʷs,"hat, a hat; cap"
sč̓álsən,toenail
sč̓áyʔə; sč̓éyʔə,stick; short stick carried by an initiated spirit dancer
"1. Placename: area across the harbour from Esquimalt reserve, translated as ""mouldy beach"". When harvesting clams at this small beach inside Rodd Point, the people would turn over rocks which were moldy, or covered in algae on",2. the bottoms. Sophie Mishael and Ned Williams remembered houses there that belonged to people who were not Esquimalt (Xwsepsum).
sč̓é'yən,"straight, correct, right, have form or shape"
"1. Placename: Village site and northern end of Esquimalt Harbour, translated as ""Stones with green moss hanging from them"". Jimmy Fraser recalled there being a village “where the sawmill was”. Wilson Duff thinks this was on the",2. Millstream river.
sč̓əmásən,"Placename: the mouth of Victoria Harbour leading up to q̓əmasəŋ, near ogden point"
sč̓əm̓ínəs,Placename: Chemainus. People of Chemainus Bay
sč̓ət,"club, war club. A paddle-shaped club of stone, bone or heavy wood was the principal weapon for close combat. Each was about one foot long and attached to the wrist with a short thong (Barnett 1955:269; Gunther 1927:268)."
sč̓ətəŋ,hit by someone or something
seʔnəxʷ,manage to lift it
seʔqʷíŋəɬ,"digging, be digging"
sen,who; one who; anyone; whose (pronoun)
seqt,woodpecker (pileated woodpecker). (A common spirit helper for canoe-builders<br />(Barnett 1955:111); the shaman often wore woodpecker feathers in his<br />hair (Barnett 1955:149).
seqt,woodpecker
sets,"order someone, tell someone what to do (he tells her)"
sewt,lie down
sex̣əŋ,sour; acidic; it is sour/acid
sex̣ət,push; pushing it(?)
seyeláʔqʷəŋ,"tidy, to tidy; put in order; straighten up"
səw̓,so then; and so
səw̓ay̓qeʔ,men
səw̓níɬ,"she, her, that (female) person;"
səw̓nəníɬiyeʔ,"they, them, those (female) people"
səw̓- (so'- ),she; her (person is visible to the speaker)
shləqʷəʔélə,pocket
sháčkʷəs,dancer's costume
shéʔek̓ʷ,remember (a memory(?))
shíʔələkʷ,happy; be happy
shəlí,soul; life force
siʔaʔləm̓iw̓s,"right, right hand, right side of body"
siʔaʔləm̓iw̓šən,right foot
siʔiʔemʔ,upper class
siʔqʷ,hole in the ground
siʔsəɬ sŋénət,mountain top
"1. teasing wool. An early step in preparation of wool for weaving to be or knitting. After the raw wool has been washed, it is separated by hand into small clumps so that foreign material. (leaves, twigs, dirt) will either fall",2. out or be more easily removed
siʔx̣ə́ləqən,tease wool
siʔxə́laqən,teased wool
siʔélkʷ,curved
siʔétən,hair on head
siiʔém̓,high class people (plural)
sil,cloth
silʔéw̓txʷ,tent (cloth-house)
sil̓ə,grandparent
siɬəŋ,stand
Sinúpən,"Proper name of owner of Bighouse near Qallə village, father of Edward Joe, former Esquimalt Chief."
six̣ʷəŋ,wade out into the water
siyəw̓ínʔ,magic
siyásəŋ,play; play games; play with toys; make fun; ridicule; entertain; perform
siyéʔsəw,go across; go over; from one place to another
siyéʔtən,widow; widower
siyé'yeʔ,tree-falling dwarf; leprechaun
siyə́xčə,"give gifts reciprocally, in return (as, between bride's family and groom̓s family)"
skʷeʔ,possession thing possessed (own)
skʷeq̓əŋ,flower; petal
skʷináŋət,helping someone; helpers
1. Placename: This name refers to the people who lived in Sooke Bay. A T’sou-ke legend tells of a copper box that dropped from heaven and landed just east of Billings Spit (the peninsula where skʷáʔnəŋəs village sat). Four men,"2. emerged from the box; these became the ancestors of the T’sou-ke, Elwah, Malahat, and Duncan peoples."
skʷáymə,ratfish
skʷéʔɬtə,ours
skʷéʔəxʷ,fern root
skʷéləkʷəsyxʷ,someone who has been killed (accidentally)
skʷéq̓əŋ təŋəxʷ,flower garden
skʷésət,"lie, tell a lie"
skʷéyšən,Skweyshun (name of monster)
skʷéyəc̓,dog fish; Sgualus suckleyi (traditionally not eaten but their oil is prized for medical purposes. It is rubbed on a woman in labour to ease the contractions and on the newborn infant (Stern 1934:14)
skʷəhán̓ə,Placename: Andrew's Bay (on San Juan Island)
skʷəhán̓ə,Placename: a tiny island to the west of kʷəw̓xʷíčəlaʔ (Grant Keddie 2003 p.54)
skʷə́lkʷəls,"Western Grebe, Aechmophorus occidentalis"
skʷə́nəxʷ,"acquisition, a discovery; that which is found"
sk̓ʷəw̓əy̓kʷ; xʷiʔləŋ,fishing line
sk̓ʷɬeʔiʔ,clam (littleneck or steamer clam)
sk̓ʷqʷəm,axe (k̓ʷqʷəm ?)
sk̓ʷtáʔ,raven; Corvus corax
sk̓ʷátəŋ,bathed; be bathed (he was bathed)
sk̓ʷátəs,bathe; give a bath (she bathed him)
sk̓ʷék̓ʷiʔ,pregnant woman; one who fasts
sk̓ʷéyəs,slave
sk̓ʷíc̓iʔ,urchin (small sea urchin); sea eggs (small)
sk̓ʷəʔ́t,stretching; extending it
sk̓ʷək̓ʷíyəs,slaves; bunch of slaves
sk̓ʷələ́wk̓ʷətəʔ,crows (plural)
sk̓ʷəs,"advice, private knowledge, history; rules"
sk̓ʷəwk̓ʷətəʔ,crow
sk̓ʷə́t,stretch; extend it
slaƛ̓,cousin
slec̓əɬ ɬqelč̓,full moon
"1. Placename: Thlowuck. This may not be a traditional Placename, and if it is, the spelling is most likely questionable. This name is taken from the T’sou-ke (Soke) Douglas treaty. The treaty describes the western boundary of","2. the territory as “Three Rivers two bays beyond Thlowuck”. This location may be called Point Shirringham today, a few kilometers east of French Beach.."
sláləč,buttocks
sléʔeƛ̓,live there; reside in that place; be there (at a place distant from the speaker)
sléʔləɬ,parent in-law
sléc̓əɬ,container; thing which is full
slélətxʷ,ready; make it ready
slíʔqʷəl,becoming calm
sləxʷéʔɬ,peace; make peace
sləx̣él,"bone game; A guessing game, teams of players guessing over distinctively marked pieces of bone. Spectators bet on outcome of each attempt to guess."
slə́wiʔ,cedar bark (soft inner bark used for weaving)
sɬa,come down
sɬatxʷ,go down to the beach
sɬc̓íŋən,"comb; a comb : Were made of yew or maple wood; pubescent girl was required to scratch<br />her head with a comb, rather than with her fingers."
sɬeni ləpəlit,"nun; ""woman priest"""
sɬeni nəsʔeʔč̓n; sʔéʔč̓n̓,my younger sister; younger sibling
sɬeni spéʔes,bear; female bear
sɬeni šxʷáʔq̓ʷaʔ; sɬeni šeyəɬ,sister (female sibling)
sɬeniʔ silə,grandmother
sɬeélt,shore
sɬic̓,cut; a cut
sɬiŋ,crane
sɬixʷs,"Wednesday, third day"
sɬn̓ɬéni,women
sɬq̓éčəs,Friday
sɬáʔŋət,herring; Clupeidae. Fish and their eggs were important as food; fish also used for baiting trolling hooks. Caught mainly in late spring with aid of herring rake.
sɬáləč,"rear end, bum; lower back; upper leg; thigh; hip; butt"
sɬáləč,leg (upper leg; thigh; rump; hip; lower back of a person)
sɬáɬəp̓,spoon
sɬáɬəq̓ʷ,someone who is naked; someone who has been raped
sɬátxʷ,beach a canoe; bring the canoe to shore
sɬátxʷəxʷ,that you bring down (to the beach)
sɬéni,woman; wife
sɬéniʔlə,late wife
sɬéwən,mat used to sit or lie on;
sɬéwən,mat; wall-mat (often made from bear grass)
sɬíŋəstəŋ,stood up; be made to stand
sɬəlp̓éləx̣ən,bat (lit. arms hanging loose)
sɬələx̣ʷ,ice
sɬəmxʷálkʷət,raincoat
sɬənɬənəčáləɬ,"girls, little girls"
sɬənəčaʔləɬ,girl; young girl; little girl
sɬənəčáləɬ,"girl, little girl"
sɬəŋəw,plucking out of eyes
sɬəqʷ,hole; pit
sɬəqʷt,pierce; bore a hole into something; perforate
sɬə́ləxʷ,ice
sɬə́məxʷ,rain (noun)
sɬə́m̓c̓əŋ,picking; picking time; pickers
sɬə́ŋiʔ,herring stick
sƛ̓časn,lip (lower); jaw; chin
sƛ̓eʔéšən,feast; wedding feast; funeral feast ; ceremonial feast
sƛ̓láʔəm̓,cockle
sƛ̓léʔƛ̓lət (?),seeking; looking for
sƛ̓pélqən,feather
sƛ̓áwən,earring; earspool
sƛ̓éʔlə,liked (in the past)
sƛ̓éləqəm,"monster, beast, powerful mythical animal"
sƛ̓éƛ̓əɬ,ebbing tide
sƛ̓éqšən,moccassins
sƛ̓íʔɬtə,we love/want/need/like (lit. our love/etc.)
sƛ̓íƛ̓qəɬ,"child, a child"
"1. tattoo (A thorn, snake tooth or sliver of shell was used to puncture the skin and soot was rubbed into the wounds, usually a row or rows of dots on thehands, forearms and legs. Tatooing was costly and the mark of a well-to-do",2. person (Barnett 1955:74-75; Gunther 1927:231-232).
sƛ̓íƛ̓əƛ̓qəɬ,child (kin)
sƛ̓əlíƛ̓qəɬ,children
sƛ̓əƛ̓íʔləqəm,bunch of monsters; beasts; powerful mythical animals
sƛ̓əpíʔnəč,tail (animal or bird)
sƛ̓əšə́nəp,plow
sƛ̓ə́mək̓ʷ,preserved fish eggs (Fish roe was smoke-dried and stored in a deer paunch (Gunther 1927:206).
sƛ̓ə́nəq,potlatch (a potlatch)
sƛ̓ə́w̓ƛ̓əm x̣ʷənéŋ,"amen (literally ""that's enough"")"
sƛ̓ə́xʷ,lose game; defeat; war that is lost
smánəč,gum (pitch gum)
smáyəs; máwəč,deer; Odocoileus hemionus columbianus
sméʔkʷəɬ,bruise; sore; wound (noun)
sméc̓ən,pride (one who is proud)
sménəš,tobacco; cigarette
smíɬə,spirit dance
smək̓ʷeyič̓,heap; a pile
sməl̓š,crawfish
sməƛ̓,faint; lie in a faint; stroke victim; paralyzed by a stroke
sməméc̓ənʔ,prideful (a little bit conceited); proudful
smə́c̓qən,brains
smə́q̓ʷə,heron
snas,"fat; grease, tallow (noun)"
snet,night
snəw̓náw̓əs,Placename: Nanoose
snéʔ,name
snəč̓íwiʔəɬ,half sibling; half brother or sister
snəmén,rules; instructions
snəmétəŋ,rules; commands; instructions (to be obeyed)
snənéyməxʷ,Placename: Nanaimo
snəníxʷəɬ,canoes
snəsnáləməxʷ,butter
snə́xʷəɬ,"canoe, car"
snə́x̣šən,toe
sn̓; sən,I; first person singular subject
sŋas,Thursday
sŋeʔtxʷ,"invitee, guest (distribute, give SENĆOŦEN)"
sŋéʔtxʷən,brother or sister in-law (of living spouse)
sŋénət,"stone, rock, mountain"
"4. x̣ʷix̣ʷəqʷ (Xwixwuqʷ) lived and died in the southern village, located where the marina is today. The people from Cadboro Bay were familiar to the Semiahmoo because the Snge’qu would visit Birch Bay, between Bellingham and","5. White Rock, every year for deer and clams. The Semiahmoo woman that told this to Suttles referred to the Cadboro Bay people as xʷəlxʷələqʷ (Hwul-hwuluqʷ)."
sŋəlénət,stones
sŋənŋénət,"rocks, stones; mountains"
spča,berry basket
speʔesáləɬ,bear cub
speʔxʷ,fog
spk̓ʷəŋ,"dust, smoke"
spxʷə́lə,wind
spásəŋ,boil; pimple
spéʔes,bear
spək̓ʷ,"flour, powder"
spəlčáʔ,berry baskets
spəlásəŋ,boils; pimples
spəl̓qʷíc̓əʔ,ghost
spəɬx̣n̓,meadow; field; prairie; valley
spəpáčə,berry basket (small)
spəxʷ,flour
spəxʷ,stomach; tripe ; cow's stomach (Klallam cognate)
spə́k̓ʷ,"flour, powder"
spə́k̓ʷ səplíl,bread flour
spə́lʔxʷəŋ,lungs
spə́pəlqʷíc̓əʔ (spəlqʷic̓əʔ ?),owl (screech owl)
sp̓áƛ̓əŋ,smoke
sp̓áq̓ʷəŋ,foam; bubble
sp̓ələkʷtən,float lines (of reef net)
sqeʔqəq,prisoner
sqex̣éʔ,dog
sqexeʔáləɬ,puppy
sqséq,Placename: Galiano Island
sqsíkʷəs,drowning; drowned person
sqáčəʔ,catch (of fish)
sqáləm,cloud
sqáqətiʔ,crazy or foolish actions
sqátiʔ,foolish person; crazy
sqéʔmək̓ʷ,"octopus, devilfish (gathered at low tide from beneath rocks. Were boiled or steamed and eaten or were used as bait for fish (Gunther 1927:198; Stern 1934:51)."
sqéʔəqs,snipe (qəqeeyyə SEN; sqeʔqs KLM)
sqéləx̣,digging stick
sqéŋət,South wind (South East) (?)
sqétəw̓,mythical sea creature; great fisherman who is very lucky
sqéwəs (sqews),potato
sqíləŋ,go out
sqíqəq̓,in jail; restrained
sqəle̓ʔqəq,prisoners
sqəlqéləlŋəxʷ,forests; trees
sqəlélŋəxʷ,trees; woods
sqəlémək̓ʷ,octopi
sqəléx̣eʔ,dogs
sqələqáwəs,rabbits
sqələqəwəsáləɬ,bunnies
sqəl̓qəl̓ásən,dream; a dream
sqəl̓éw̓,beaver
1. Placename: for Discovery Island. Also names the people whose territory included Discovery and Chatham Islands (Hill-Tout 1907:307). There is a secret spring on the island where people used to go to receive their power. But it,2. has never been found. For many years sheep lived on the island and it is thought they must have found the spring in order to have survived.
sqəqexeʔ,little dog
sqəqəwesáləɬ,baby rabbit
sqəqəwés,rabbit
sqəyəx̣qéʔnəŋ,lying
sqə́məʔ,milk
sqʷel,language
sqʷel̓,word; speech
sqʷinəyəsən,mustache
sqʷinə́sən,beard; whiskers
sqʷáʔməš,Placename: Squamish; people whose winter villages were located along the rivers at the head of Howe Sound. They joined the late summer aggregation of Salish at the mouth of the Fraser River (Barnett 1955:31).
sqʷáʔtən; sqʷáʔtn,"bucket, pail"
sqʷámə,"raspberry (N. W.), Rubus leucodermis"
sqʷínqʷən,beads; necklace
sqʷínəsən,beard; whiskers
sqʷələ́qʷəm̓x̣,skinny; skinny people
sqʷəmə́yʔəqs,fir; white fir; grand fir. Also pronounced sqʷəwməyʔyəwqs
sqʷəqʷə́l̓,sun
sqʷət,grouse (blue grouse)
sqʷəx̣ʷíx̣ʷət,missing it (as a target)
sqʷəḿx̣ʷ,skinny; skinny person
sq̓iʔs,tangled (?)
sq̓lkʷáləs (?),coiled; something coiled (like rope or a snake)
sq̓téləʔqʷ,head (crown of head)
sq̓təléqʷ,roof
sq̓áʔəƛ̓ unverified spelling,land otter
sq̓ékʷəŋ,knee
sq̓éləʔ,preserved food
sq̓éq̓əp̓,bound
sq̓ésəɬ,"scarce, that which is scarce; insufficient; not enough"
sq̓é'ləʔ,food for later
sq̓əlʔíŋ,camp; a camp
sq̓əm̓,"cut off, get cut or broken, chopped in two"
sq̓əqʷíqʷəm,axes; lots of axes
sq̓əq̓iʔməl̓,bunch of canoe paddles
sq̓əq̓əp̓,tied up; be tied up
sq̓əy̓əs,down feather
sq̓ə́məl̓,canoe paddle
sq̓ʷaʔ,"dead person, animal, or thing"
sq̓ʷaq̓ʷaʔ,together with; be together with
sq̓ʷayq̓ʷiʔ,attacked; beaten up
sq̓ʷes,fatal burn; a severe burn
sq̓ʷeyéləš,"dancing, a dance"
